http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=65099_1
	"SOFFICINI", frozen (kind of roll stuffed with cheese)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1142_2	"SOPRASSATA" (pork meat, salted, raw)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8030_1	ADUKI BEANS, dried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8031_1	AGAR, dried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=19002_2	ALCOHOL PURE (95% vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8035_1	ALFA ALFA SPROUTS
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=3016_2	ALMOND BEVERAGE (prepared from recipe)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=900503_1	ALMOND PASTE (prepared from recipe)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8808_2	ALMONDS, DRIED
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=508_2	ALMONDS, fresh
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8802_2	ANACARDI
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1300_2	ANCHOVIES
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1501_2	ANCHOVIES, canned in oil
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1502_2	ANCHOVIES, salted
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8634_2	ANONA OR CUSTARD-APPLE OR CHERIMOYA
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=9079_2	APPLE PUREE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8641_2	APPLES, ANNURCHE TYPE, whitout peel
